"file","line","m"
"BAT2CA_AB_A.dat",7500001,13100001
"BAT2CA_BA_B.dat",7500001,13100001
"BAT2CA_AB_A.dat",7600001,13100001
"BAT2CA_BA_B.dat",7600001,13100001
"BAT2CA_AB_A.dat",7700001,13100001
"BAT2CA_BA_B.dat",7700001,13100001
"BAT2CA_AB_A.dat",7800001,13100001
"BAT2CA_BA_B.dat",7800001,13100001
"BAT2CA_AB_A.dat",7900001,13100001
"BAT2CA_BA_B.dat",7900001,13100001
"BAT2CA_AB_A.dat",8000001,13100001
"BAT2CA_BA_B.dat",8000001,13100001
"BAT2CA_AB_A.dat",8100001,13100001
"BAT2CA_BA_B.dat",8100001,13100001
"BAT2CA_AB_A.dat",8200001,13100001
"BAT2CA_BA_B.dat",8200001,13100001
"BAT2CA_AB_A.dat",8300001,13100001
"BAT2CA_BA_B.dat",8300001,13100001
"BAT2CA_AB_A.dat",8400001,13100001
"BAT2CA_BA_B.dat",8400001,13100001
"BAT2CA_AB_A.dat",8500001,13100001
"BAT2CA_BA_B.dat",8500001,13100001
"BAT2CA_AB_A.dat",8600001,13100001
"BAT2CA_BA_B.dat",8600001,13100001
"BAT2CA_AB_A.dat",8700001,13100001
"BAT2CA_BA_B.dat",8700001,13100001
"BAT2CA_AB_A.dat",8800001,13100001
"BAT2CA_BA_B.dat",8800001,13100001
"BAT2CA_AB_A.dat",8900001,13100001
"BAT2CA_BA_B.dat",8900001,13100001
"BAT2CA_AB_A.dat",9000001,13100001
"BAT2CA_BA_B.dat",9000001,13100001
"BAT2CA_AB_A.dat",9100001,13100001
"BAT2CA_BA_B.dat",9100001,13100001
"BAT2CA_AB_A.dat",9200001,13100001
"BAT2CA_BA_B.dat",9200001,13100001
"BAT2CA_AB_A.dat",9300001,13100001
"BAT2CA_BA_B.dat",9300001,13100001
"BAT2CA_AB_A.dat",9400001,13100001
"BAT2CA_BA_B.dat",9400001,13100001
"BAT2CA_AB_A.dat",9500001,13100001
"BAT2CA_BA_B.dat",9500001,13100001
"BAT2CA_AB_A.dat",9600001,13100001
"BAT2CA_BA_B.dat",9600001,13100001
"BAT2CA_AB_A.dat",9700001,13100001
"BAT2CA_BA_B.dat",9700001,13100001
"BAT2CA_AB_A.dat",9800001,13100001
"BAT2CA_BA_B.dat",9800001,13100001
"BAT2CA_AB_A.dat",9900001,13100001
"BAT2CA_BA_B.dat",9900001,13100001
"BAT2CA_AB_A.dat",10000001,13100001
"BAT2CA_BA_B.dat",10000001,13100001
"BAT2CA_AB_A.dat",10100001,13100001
"BAT2CA_BA_B.dat",10100001,13100001
"BAT2CA_AB_A.dat",10200001,13100001
"BAT2CA_BA_B.dat",10200001,13100001
"BAT2CA_AB_A.dat",10300001,13100001
"BAT2CA_BA_B.dat",10300001,13100001
"BAT2CA_AB_A.dat",10400001,13100001
"BAT2CA_BA_B.dat",10400001,13100001
"BAT2CA_AB_A.dat",10500001,13100001
"BAT2CA_BA_B.dat",10500001,13100001
"BAT2CA_AB_A.dat",10600001,13100001
"BAT2CA_BA_B.dat",10600001,13100001
"BAT2CA_AB_A.dat",10700001,13100001
"BAT2CA_BA_B.dat",10700001,13100001
"BAT2CA_AB_A.dat",10800001,13100001
"BAT2CA_BA_B.dat",10800001,13100001
"BAT2CA_AB_A.dat",10900001,13100001
"BAT2CA_BA_B.dat",10900001,13100001
"BAT2CA_AB_A.dat",11000001,13100001
"BAT2CA_BA_B.dat",11000001,13100001
"BAT2CA_AB_A.dat",11100001,13100001
"BAT2CA_BA_B.dat",11100001,13100001
"BAT2CA_AB_A.dat",11200001,13100001
"BAT2CA_BA_B.dat",11200001,13100001
"BAT2CA_AB_A.dat",11300001,13100001
"BAT2CA_BA_B.dat",11300001,13100001
"BAT2CA_AB_A.dat",11400001,13100001
"BAT2CA_BA_B.dat",11400001,13100001
"BAT2CA_AB_A.dat",11500001,13100001
"BAT2CA_BA_B.dat",11500001,13100001
"BAT2CA_AB_A.dat",11600001,13100001
"BAT2CA_BA_B.dat",11600001,13100001
"BAT2CA_AB_A.dat",11700001,13100001
"BAT2CA_BA_B.dat",11700001,13100001
"BAT2CA_AB_A.dat",11800001,13100001
"BAT2CA_BA_B.dat",11800001,13100001
"BAT2CA_AB_A.dat",11900001,13100001
"BAT2CA_BA_B.dat",11900001,13100001
"BAT2CA_AB_A.dat",12000001,13100001
"BAT2CA_BA_B.dat",12000001,13100001
"BAT2CA_AB_A.dat",12100001,13100001
"BAT2CA_BA_B.dat",12100001,13100001
"BAT2CA_AB_A.dat",12200001,13100001
"BAT2CA_BA_B.dat",12200001,13100001
"BAT2CA_AB_A.dat",12300001,13100001
"BAT2CA_BA_B.dat",12300001,13100001
"BAT2CA_AB_A.dat",12400001,13100001
"BAT2CA_BA_B.dat",12400001,13100001
"BAT2CA_AB_A.dat",12500001,13100001
"BAT2CA_BA_B.dat",12500001,13100001
"BAT2CA_AB_A.dat",12600001,13100001
"BAT2CA_BA_B.dat",12600001,13100001
"BAT2CA_AB_A.dat",12700001,13100001
"BAT2CA_BA_B.dat",12700001,13100001
"BAT2CA_AB_A.dat",12800001,13100001
"BAT2CA_BA_B.dat",12800001,13100001
"BAT2CA_AB_A.dat",12900001,13100001
"BAT2CA_BA_B.dat",12900001,13100001
"BAT2CA_AB_A.dat",13000001,13100001
"BAT2CA_BA_B.dat",13000001,13100001
"BAT2CA_AB_A.dat",13100001,13100001
"BAT2CA_BA_B.dat",13100001,13100001
"MED2CA_AB_A.dat",1,14200001
"MED2CA_BA_B.dat",1,14200001
"MED2CA_AB_A.dat",100001,14200001
"MED2CA_BA_B.dat",100001,14200001
"MED2CA_AB_A.dat",200001,14200001
"MED2CA_BA_B.dat",200001,14200001
"MED2CA_AB_A.dat",300001,14200001
"MED2CA_BA_B.dat",300001,14200001
"MED2CA_AB_A.dat",400001,14200001
"MED2CA_BA_B.dat",400001,14200001
"MED2CA_AB_A.dat",500001,14200001
"MED2CA_BA_B.dat",500001,14200001
"MED2CA_AB_A.dat",600001,14200001
"MED2CA_BA_B.dat",600001,14200001
"MED2CA_AB_A.dat",700001,14200001
"MED2CA_BA_B.dat",700001,14200001
"MED2CA_AB_A.dat",800001,14200001
"MED2CA_BA_B.dat",800001,14200001
"MED2CA_AB_A.dat",900001,14200001
"MED2CA_BA_B.dat",900001,14200001
"MED2CA_AB_A.dat",1000001,14200001
"MED2CA_BA_B.dat",1000001,14200001
"MED2CA_AB_A.dat",1100001,14200001
"MED2CA_BA_B.dat",1100001,14200001
"MED2CA_AB_A.dat",1200001,14200001
"MED2CA_BA_B.dat",1200001,14200001
"MED2CA_AB_A.dat",1300001,14200001
"MED2CA_BA_B.dat",1300001,14200001
"MED2CA_AB_A.dat",1400001,14200001
"MED2CA_BA_B.dat",1400001,14200001
"MED2CA_AB_A.dat",1500001,14200001
"MED2CA_BA_B.dat",1500001,14200001
"MED2CA_AB_A.dat",1600001,14200001
"MED2CA_BA_B.dat",1600001,14200001
"MED2CA_AB_A.dat",1700001,14200001
"MED2CA_BA_B.dat",1700001,14200001
"MED2CA_AB_A.dat",1800001,14200001
"MED2CA_BA_B.dat",1800001,14200001
"MED2CA_AB_A.dat",1900001,14200001
"MED2CA_BA_B.dat",1900001,14200001
"MED2CA_AB_A.dat",2000001,14200001
"MED2CA_BA_B.dat",2000001,14200001
"MED2CA_AB_A.dat",2100001,14200001
"MED2CA_BA_B.dat",2100001,14200001
"MED2CA_AB_A.dat",2200001,14200001
"MED2CA_BA_B.dat",2200001,14200001
"MED2CA_AB_A.dat",2300001,14200001
"MED2CA_BA_B.dat",2300001,14200001
"MED2CA_AB_A.dat",2400001,14200001
"MED2CA_BA_B.dat",2400001,14200001
"MED2CA_AB_A.dat",2500001,14200001
"MED2CA_BA_B.dat",2500001,14200001
"MED2CA_AB_A.dat",2600001,14200001
"MED2CA_BA_B.dat",2600001,14200001
"MED2CA_AB_A.dat",2700001,14200001
