data_point_number,date,time_unbagged,time_of_visit,plant_species,visitor_group,visitor_extra_information,length_of_visit,conspecific_pollen_deposited_(before_control_values_removed),conspecific_pollen_deposited,Pollen_or_nectar_collected,Legitimate_oR_Robbing_visit,observer
451,08/07/13,08:22,11:50,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,15,58,58,N,R,3
452,08/07/13,08:22,11:50,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,8,89,89,P,L,3
453,09/07/13,08:18,16:59,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,1,8,8,N,L,3
454,09/07/13,08:18,17:48,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,57,57,P,L,3
455,09/07/13,17:00,17:47,Erica_cinerea,Bombus_lapidarius,Bombus_lapidarius,8,7,7,N,L,1
456,09/07/13,17:00,17:47,Erica_cinerea,Bombus_lapidarius,Bombus_lapidarius,12,103,103,N,L,1
457,09/07/13,17:00,19:00,Erica_cinerea,halictid,Lasioglossum,7,37,37,P,L,1
458,09/07/13,17:00,19:16,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,2,2,N,R,1
459,09/07/13,17:00,19:16,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,22,0,0,N,R,1
460,09/07/13,17:00,19:35,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,0,0,N,R,1
461,09/07/13,17:00,19:40,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,10,11,11,P,L,1
462,09/07/13,17:00,20:20,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,9,13,13,N,L,1
463,09/07/13,17:00,20:20,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,49,49,PN,L,1
464,10/07/13,17:25,17:59,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,0,0,P,R,2
465,10/07/13,17:25,17:59,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,20,6,6,P,R,2
466,10/07/13,17:25,17:59,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,0,0,P,R,2
467,10/07/13,17:25,17:59,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,0,0,P,R,2
468,10/07/13,17:25,18:36,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,11,0,0,N,R,2
