data_point_number,date,time_unbagged,time_of_visit,plant_species,visitor_group,visitor_extra_information,length_of_visit,conspecific_pollen_deposited_(before_control_values_removed),conspecific_pollen_deposited,Pollen_or_nectar_collected,Legitimate_oR_Robbing_visit,observer
1186,19/08/13,13:30,14:25,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,2,37,29,P,L,5
1187,19/08/13,13:30,14:25,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,72,64,P,L,5
1188,19/08/13,13:30,15:15,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,87,79,N,L,5
1189,19/08/13,13:30,15:18,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,111,103,N,L,5
1190,19/08/13,13:30,15:20,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,2,42,34,N,L,5
1191,19/08/13,13:30,15:20,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,72,64,N,L,5
1192,19/08/13,13:30,15:23,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,2,53,45,N,L,5
1193,19/08/13,13:30,15:46,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,88,80,N,L,5
1194,20/08/13,08:45,10:15,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,2,98,90,P,L,5
1195,20/08/13,08:45,10:15,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,3,11,3,P,L,5
1196,20/08/13,08:45,10:15,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,3,208,200,P,L,5
1197,20/08/13,08:45,10:15,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,2,143,135,P,L,5
1198,20/08/13,11:00,11:15,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,5,73,65,P,L,5
1199,20/08/13,11:00,11:15,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,6,23,15,P,L,5
1200,20/08/13,11:00,11:15,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,40,32,P,L,5
1201,20/08/13,11:00,11:15,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,2,32,24,N,L,5
1202,21/08/13,14:30,14:59,Ulex_minor,other_solitary_bees,Andrena,3,3,0,P,L,5
1203,21/08/13,14:30,15:48,Ulex_minor,small_syrphid,Platycheirus albimanus,6,11,3,P,L,5
1204,26/08/13,09:00,10:02,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,5,78,70,N,L,5
1205,26/08/13,09:00,10:02,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,40,32,N,L,5
1206,26/08/13,09:00,10:02,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,73,65,N,L,5
1207,26/08/13,09:00,10:02,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,28,20,N,L,5
1208,26/08/13,09:00,10:02,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,5,63,55,N,L,5
1209,26/08/13,09:00,10:55,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,34,26,N,L,5
1210,26/08/13,09:00,10:55,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,40,32,N,L,5
1211,26/08/13,09:00,10:55,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,58,50,N,L,5
1212,26/08/13,09:00,11:40,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,11,92,84,N,L,5
1213,26/08/13,09:00,12:00,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,72,64,N,L,5
1214,26/08/13,09:00,12:45,Calluna_vulgaris,muscid,"muscid (medium, grey abdomen)",12,79,71,N,L,5
1215,27/08/13,09:00,10:45,Ulex_minor,other_solitary_bees,Andrena,4,142,134,P,L,5
1216,27/08/13,09:00,10:53,Ulex_minor,other_solitary_bees,Andrena,5,103,95,P,L,5
1217,27/08/13,09:00,10:54,Ulex_minor,other_solitary_bees,Andrena,6,184,176,P,L,5
1218,16/08/13,15:45,16:20,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,2,14,6,N,L,4
1219,16/08/13,15:45,16:20,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,2,11,3,N,L,4
1220,16/08/13,15:45,16:50,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,1,12,4,N,L,4
1221,16/08/13,15:45,16:50,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,2,13,5,N,L,4
1222,16/08/13,15:45,16:55,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,2,9,1,N,L,4
1223,16/08/13,15:45,17:25,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,1,14,6,N,L,4
1224,16/08/13,15:45,17:46,Calluna_vulgaris,small_syrphid,Meliscaeva,16,7,0,N,L,4
1225,16/08/13,15:45,17:50,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,2,3,0,N,L,4
1226,17/08/13,08:41,09:51,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,23,15,P,L,4
1227,17/08/13,08:41,09:51,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,0,0,P,L,4
1228,17/08/13,08:41,09:52,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,29,21,P,L,4
1229,17/08/13,08:41,09:52,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,38,30,P,L,4
1230,17/08/13,08:41,09:52,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,10,2,P,L,4
1231,19/08/13,13:30,14:39,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,2,29,21,N,L,4
1232,19/08/13,13:30,15:30,Calluna_vulgaris,muscid,muscid,3,11,3,N,L,4
1233,20/08/13,08:45,09:31,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,3,105,97,P,L,4
1234,20/08/13,08:45,09:31,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,2,26,18,P,L,4
1235,20/08/13,08:45,09:31,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,1,88,80,P,L,4
1236,20/08/13,08:45,09:32,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,2,14,6,P,L,4
1237,20/08/13,08:45,09:35,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,1,42,34,P,L,4
1238,20/08/13,08:45,09:37,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,1,0,P,L,4
1239,20/08/13,08:45,09:43,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,2,23,15,P,L,4
1240,20/08/13,08:45,10:00,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,2,92,84,P,L,4
1241,20/08/13,08:45,10:01,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,2,18,10,P,L,4
1242,20/08/13,08:45,10:14,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,1,36,28,P,L,4
1243,20/08/13,10:48,11:12,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,104,96,N,L,4
1244,20/08/13,10:48,11:35,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,2,10,2,N,L,4
1245,20/08/13,08:50,10:44,Calluna_vulgaris,other_solitary_bees,Colletes,2,14,6,P,L,4
1246,20/08/13,08:50,10:51,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,2,3,0,N,L,4
1247,20/08/13,08:50,11:48,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,16,8,P,L,4
1248,27/08/13,08:40,11:24,Ulex_minor,Bombus_pascuorum,Bombus_pascuorum,1,56,48,P,L,4
1249,28/08/13,09:30,10:30,Ulex_minor,Bombus_pascuorum,Bombus_pascuorum,3,52,44,P,L,4
1250,28/05/14,09:00,09:22,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,3,0,PN,L,6
1251,28/05/14,09:05,09:27,Ulex_europaeus,Bombus_hortorum,Bombus_hortorum,5,5,0,PN,L,6
1252,28/05/14,09:05,09:33,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,15,7,PN,L,6
1253,28/05/14,09:05,09:35,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,27,19,PN,L,6
1254,28/05/14,09:05,09:55,Ulex_europaeus,Bombus_lapidarius,Bombus_lapidarius,3,15,7,PN,L,6
1255,28/05/14,09:05,10:00,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,15,7,PN,L,6
1256,28/05/14,09:05,10:10,Ulex_europaeus,Bombus_hortorum,Bombus_hortorum,4,22,14,PN,L,6
1257,28/05/14,09:05,10:15,Ulex_europaeus,Bombus_hortorum,Bombus_hortorum (queen),6,45,37,PN,L,6
1258,28/05/14,09:05,10:38,Ulex_europaeus,Bombus_lapidarius,Bombus_lapidarius,2,16,8,PN,L,6
1259,28/05/14,09:35,09:45,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,63,55,PN,L,6
1260,28/05/14,09:35,10:05,Ulex_europaeus,Bombus_hortorum,Bombus_hortorum,5,31,23,PN,L,6
1261,28/05/14,09:35,10:22,Ulex_europaeus,Bombus_lapidarius,Bombus_lapidarius,2,86,78,PN,L,6
1262,28/05/14,09:35,10:45,Ulex_europaeus,Bombus_pascuorum,Bombus pascuorum,3,22,14,PN,L,6
1263,28/05/14,09:35,10:49,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,28,20,PN,L,6
1264,28/05/14,10:45,11:00,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,7,0,PN,L,6
1265,28/05/14,10:45,11:05,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,17,9,PN,L,6
1266,28/05/14,10:45,11:19,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,52,44,PN,L,6
1267,28/05/14,10:45,11:20,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,89,81,PN,L,6
1268,28/05/14,10:45,11:29,Ulex_europaeus,other_solitary_bees,Andrena,7,31,23,PN,L,6
1269,28/05/14,10:45,11:34,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,38,30,PN,L,6
1270,28/05/14,11:04,11:22,Ulex_europaeus,Bombus_lapidarius,Bombus_lapidarius,2,27,19,PN,L,6
1271,28/05/14,11:04,11:28,Ulex_europaeus,Bombus_pascuorum,Bombus_pascuorum,4,77,69,PN,L,6
1272,28/05/14,11:06,11:35,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,53,45,PN,L,6
1273,28/05/14,11:06,12:01,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,24,16,PN,L,6
1274,28/05/14,11:06,12:12,Ulex_europaeus,other_solitary_bees,Andrena,5,69,61,PN,L,6
1275,28/05/14,11:06,12:17,Ulex_europaeus,Bombus_hortorum,Bombus_hortorum,4,55,47,PN,L,6
1276,28/05/14,12:00,12:20,Ulex_europaeus,Bombus_lapidarius,Bombus_lapidarius,2,85,77,PN,L,6
1277,28/05/14,12:00,12:31,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,38,30,PN,L,6
1278,28/05/14,12:00,12:34,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,27,19,PN,L,6
1279,28/05/14,11:04,12:25,Ulex_europaeus,other_solitary_bees,Andrena ?nigroaena,4,42,34,PN,L,6
1280,28/05/14,09:30,12:44,Erica_tetralix,Apis_mellifera,Apis_mellifera,2,5,5,PN,L,6
1281,28/05/14,12:17,12:49,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,53,45,PN,L,6
1282,28/05/14,12:17,12:54,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,40,32,PN,L,6
1283,28/05/14,12:17,12:57,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,52,44,PN,L,6
1284,28/05/14,12:17,12:59,Ulex_europaeus,Bombus_lapidarius,Bombus_lapidarius,3,77,69,PN,L,6
1285,28/05/14,12:17,13:27,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,81,73,PN,L,6
1286,28/05/14,12:17,13:30,Ulex_europaeus,Bombus_lapidarius,Bombus_lapidarius,4,105,97,PN,L,6
1287,28/05/14,12:38,13:00,Ulex_europaeus,other_solitary_bees,Andrena,6,113,105,PN,L,6
1288,28/05/14,12:38,13:05,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,62,54,PN,L,6
1289,28/05/14,12:38,13:07,Ulex_europaeus,other_solitary_bees,Andrena,4,43,35,PN,L,6
1290,28/05/14,12:38,13:16,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,28,20,PN,L,6
1291,28/05/14,09:30,13:20,Erica_tetralix,Apis_mellifera,Apis_mellifera,2,8,8,N,L,6
1292,28/05/14,09:30,13:35,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,9,9,PN,L,6
1293,28/05/14,12:38,13:41,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,56,48,PN,L,6
1294,28/05/14,12:38,13:51,Ulex_europaeus,butterfly,brown white butterfly,8,17,9,N,L,6
1295,28/05/14,12:38,13:57,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,90,82,PN,L,6
1296,28/05/14,12:38,14:05,Ulex_europaeus,other_solitary_bees,Andrena,4,152,144,PN,L,6
1297,28/05/14,12:38,14:14,Ulex_europaeus,Bombus_pascuorum,Bombus pascuorum,2,72,64,PN,L,6
1298,28/05/14,12:38,14:19,Ulex_europaeus,Apis_mellifera,Apis_mellifera,4,35,27,PN,L,6
1299,28/05/14,14:14,14:23,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,26,18,PN,L,6
1300,28/05/14,14:14,14:29,Ulex_europaeus,Apis_mellifera,Apis_mellifera,2,16,8,PN,L,6
1301,28/05/14,14:14,14:41,Ulex_europaeus,Bombus_lapidarius,Bombus_lapidarius,3,71,63,PN,L,6
1302,28/05/14,14:14,14:48,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,44,36,PN,L,6
1303,28/05/14,14:14,14:50,Ulex_europaeus,Bombus_lapidarius,Bombus_lapidarius,2,23,15,PN,L,6
1304,28/05/14,09:30,14:57,Erica_tetralix,Apis_mellifera,Apis_mellifera,4,6,6,N,L,6
1305,29/05/14,09:16,09:31,Ulex_europaeus,Bombus_pascuorum,Bombus pascuorum,3,29,21,NA,L,6
1306,29/05/14,09:16,09:45,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,55,47,NA,L,6
1307,29/05/14,09:16,09:52,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,52,44,NA,L,6
1308,29/05/14,09:16,10:10,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,17,9,NA,L,6
1309,29/05/14,09:35,10:15,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,76,68,NA,L,6
1310,29/05/14,09:35,10:34,Ulex_europaeus,Apis_mellifera,Apis_mellifera,5,32,24,NA,L,6
1311,29/05/14,09:35,10:40,Ulex_europaeus,Bombus_pascuorum,Bombus_pascuorum,3,87,79,NA,L,6
1312,29/05/14,09:35,10:47,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,67,59,NA,L,6
1313,29/05/14,10:30,10:55,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,65,57,NA,L,6
1314,29/05/14,10:30,11:17,Ulex_europaeus,Bombus_pascuorum,Bombus_pascuorum,3,38,30,NA,L,6
1315,29/05/14,10:30,11:22,Ulex_europaeus,Bombus_pascuorum,Bombus_pascuorum,3,81,73,NA,L,6
1316,29/05/14,10:30,11:29,Ulex_europaeus,Bombus_pascuorum,Bombus_pascuorum,4,44,36,NA,L,6
1317,29/05/14,10:30,11:35,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,85,77,NA,L,6
1318,29/05/14,10:30,11:40,Ulex_europaeus,Bombus_pascuorum,Bombus_pascuorum,3,33,25,NA,L,6
1319,29/05/14,10:30,11:44,Ulex_europaeus,Apis_mellifera,Apis_mellifera,5,31,23,NA,L,6
1320,29/05/14,10:30,11:54,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,116,108,NA,L,6
1321,29/05/14,10:30,11:58,Ulex_europaeus,Bombus_pascuorum,Bombus_pascuorum,3,33,25,NA,L,6
1322,29/05/14,10:30,12:00,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,49,41,NA,L,6
1323,29/05/14,12:10,12:17,Ulex_europaeus,Bombus_pascuorum,Bombus_pascuorum,3,73,65,NA,L,6
1324,29/05/14,12:10,12:20,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,96,88,NA,L,6
1325,29/05/14,12:10,12:32,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,28,20,NA,L,6
1326,29/05/14,12:10,12:39,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,62,54,NA,L,6
1327,29/05/14,12:10,12:42,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,7,7,N,L,6
1328,29/05/14,12:10,12:48,Ulex_europaeus,Apis_mellifera,Apis_mellifera,6,45,37,NA,L,6
1329,29/05/14,13:00,13:13,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,72,64,NA,L,6
1330,29/05/14,13:00,13:35,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,104,96,NA,L,6
1331,29/05/14,13:00,13:47,Ulex_europaeus,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,66,58,NA,L,6
1332,29/05/14,13:00,14:52,Ulex_europaeus,Apis_mellifera,Apis_mellifera,7,21,13,NA,L,6
1333,29/05/14,13:55,15:05,Ulex_europaeus,Apis_mellifera,Apis_mellifera,4,45,37,NA,L,6
1334,29/05/14,13:55,15:24,Ulex_europaeus,Apis_mellifera,Apis_mellifera,6,17,9,NA,L,6
1335,29/05/14,13:55,15:26,Ulex_europaeus,Apis_mellifera,Apis_mellifera,9,13,5,NA,L,6
1336,29/05/14,13:55,15:57,Ulex_europaeus,Apis_mellifera,Apis_mellifera,5,32,24,NA,L,6
1337,29/05/14,13:55,16:01,Ulex_europaeus,Apis_mellifera,Apis_mellifera,6,9,1,NA,L,6
1338,29/05/14,13:55,16:17,Ulex_europaeus,Apis_mellifera,Apis_mellifera,6,12,4,NA,L,6
